"","name","wikitag","party","voteshare","legperiod","nsdap.membership"
"304","Franz Neumann","/wiki/Franz_Neumann_(Politiker)","SPD",NA,1,0
"305","Fritz Neumayer","/wiki/Fritz_Neumayer","FDP",NA,1,0
"306","Christof Nickl","/wiki/Christof_Nickl","CSU","36,3",1,0
"307","Otto Niebergall","/wiki/Otto_Niebergall","KPD",NA,1,0
"308","Heinrich Niebes","/wiki/Heinrich_Niebes","KPD",NA,1,0
"309","Maria Niggemeyer","/wiki/Maria_Niggemeyer","CDU","44,2",1,0
"310","Wilhelm Niklas","/wiki/Wilhelm_Niklas","CSU",NA,1,0
"311","Robert Philipp Nöll von der Nahmer","/wiki/Robert_Philipp_N%C3%B6ll_von_der_Nahmer","FDP",NA,1,0
"312","Erik Nölting","/wiki/Erik_N%C3%B6lting","SPD","34,5",1,0
"313","Friedrich Nowack","/wiki/Friedrich_Nowack","SPD","31,7",1,0
"314","Wilhelm Nowack","/wiki/Wilhelm_Nowack_(Politiker)","FDP",NA,1,0
"315","Hermann Nuding","/wiki/Hermann_Nuding","KPD",NA,1,0
"316","Willy Odenthal","/wiki/Willy_Odenthal","SPD",NA,1,0
"317","Fritz Oellers","/wiki/Fritz_Oellers","FDP",NA,1,0
"318","Josef Oesterle","/wiki/Josef_Oesterle","CSU","39,6",1,0
"319","Eugen Fürst zu Oettingen-Wallerstein","/wiki/Eugen_F%C3%BCrst_zu_Oettingen-Wallerstein","BP",NA,1,0
"320","Richard Oetzel","/wiki/Richard_Oetzel","CDU",NA,1,0
"321","Fritz Ohlig","/wiki/Fritz_Ohlig","SPD","31,7",1,0
"322","Erich Ollenhauer","/wiki/Erich_Ollenhauer","SPD","39,1",1,0
"323","Alfred Onnen","/wiki/Alfred_Onnen","FDP",NA,1,0
"324","Eduard Orth","/wiki/Eduard_Orth","CDU","52,7",1,0
"325","Franz Ott","/wiki/Franz_Ott","independent","28,0",1,0
